"Rose A. Marks, Jill M. Farrant, D. Nicholas McLetchie, and Robert VanBuren - American Journal of Botany - 2020 - Appendix S1",,,,,,,,,,,
Division,Class,Order,Family,Genus,Species,Minimum RH (%),Minimum RWC (%),Homoi vs poikilochlorophyllous,Evidence of priming or hardening ,Tissues differ in recovery,Citation
Angiosperms,Eudicots,Caryophyllales,Cactacese,Blossfeldia,liliputana,,,homoi,,,Barthlott and Porembski 1996
Angiosperms,Eudicots,Gunnerales,Myrothamnaceae,Myrothamnus,flabellifolia,0,,homoi,,,"Gaff 1971, 1977"
Angiosperms,Eudicots,Gunnerales,Myrothamnaceae,Myrothamnus,moschata,0,,homoi,,,Gaff 1977
Angiosperms,Eudicots,Lamiales,Gesneriaceae,Boea,hygroscopica,,,homoi,,,"Gaff and Latz 1978, Kaiser et al. 1985"
Angiosperms,Eudicots,Lamiales,Gesneriaceae,Conandron,ramondioides,,,homoi,yes,,Blomstedt 2018
Angiosperms,Eudicots,Lamiales,Gesneriaceae,Haberlea,rhodopensis,,,homoi,,,"Bewley and Krochko 1982, Muller et al 1997"
Angiosperms,Eudicots,Lamiales,Gesneriaceae,Opithandra,primuloides,,,homoi,yes,,Blomstedt 2018
Angiosperms,Eudicots,Lamiales,Gesneriaceae,Ramonda,myconi,,,homoi,,,"Gaff and Mcgregor 1979, Schwab et al 1989"
Angiosperms,Eudicots,Lamiales,Gesneriaceae,Ramonda,nathaliae,,10,homoi,,,"Bewley and Krochko 1982, Muller et al 1997"
Angiosperms,Eudicots,Lamiales,Gesneriaceae,Ramonda,serbica,,,homoi,,,"Markovska et al 1994, Sgherri et al 2004"
Angiosperms,Eudicots,Lamiales,Gesneriaceae,Streptocarpus,spp,,,homoi,,,Porembski and Barthlott 2000
Angiosperms,Eudicots,Lamiales,Lamiaceae,Satureja,gilliesii,,,homoi,,,Montenegro et al 1979
Angiosperms,Eudicots,Lamiales,Linderniaceae,Chamaegigas,intrepidus,0,,homoi,,,"Gaff 1971, 1977"
Angiosperms,Eudicots,Lamiales,Linderniaceae,Craterostigma,monroi,0,,homoi,,,Gaff 1977
Angiosperms,Eudicots,Lamiales,Linderniaceae,Craterostigma,nanum,0,,homoi,,,Gaff 1977
Angiosperms,Eudicots,Lamiales,Linderniaceae,Craterostigma,plantagineum,0,,homoi,,,"Gaff 1971, 1977"
Angiosperms,Eudicots,Lamiales,Linderniaceae,Craterostigma,pumilum,,,homoi,,yes,Hoekstra et al 2001 (unpublished data)
Angiosperms,Eudicots,Lamiales,Linderniaceae,Craterostigma,wilmsii,0,,homoi,,,"Gaff 1971, 1977"
Angiosperms,Eudicots,Lamiales,Linderniaceae,Lindernia (previously Ilysanthes),purpurascens,0,,homoi,,,Gaff 1977
Angiosperms,Eudicots,Lamiales,Linderniaceae,Lindernia (previously Ilysanthes),wilmsii,0,,homoi,,,Gaff 1977
Angiosperms,Eudicots,Lamiales,Scrophulariaceae,Limosella,spp,,,homoi,,,Porembski and Barthlott 2000
Angiosperms,Eudicots,Lamiales,Scrophulariaceae,Lindernia,all species are DT (Proctor and Pence) not true based on Bob's recent work,,,homoi,,,
Angiosperms,Magnoliopsida,Asparagales,Boryaceae,Borya,inopinata,,,poiki,,,Forster and Thompson 1997
Angiosperms,Magnoliopsida,Asparagales,Boryaceae,Borya,nitida,,,poiki,,,Gaff and Churchill 1976
Angiosperms,Magnoliopsida,Asparagales,Boryaceae,Borya,scirpioides,,,poiki,,higher in three youngest leaves,Blomstedt et al 2018
Angiosperms,Magnoliopsida,Asparagales,Boryaceae,Borya,septentrionalis,,,poiki,,,Gaff and Latz 1978
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Aylthonia,blackii,,7.7,,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Barbacenia,flava,,7.5,,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Barbacenia,longiflora,,9.9,,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Barbacenia,riediliana,,10,,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Barbacenia,sellovii,,5.7,,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Barbaceniopsis,boliveinsis,,6.6,,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Barbaceniopsis,humahuaguensis,,6.2,,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Nanuza,plicata,,,,,,Rosetto and Dolder 1996
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Pleurostima,sp. ,,,poiki,,,Porembski and Barthlott 2000
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Talbotia,elegans,,,poiki,,,"Gaff and Hallam 1974, Hallam and Gaff 1978"
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,~124 species in total,,,,,,Proctor and Pence 2002
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,angustifolia,,7.5,poiki,,,"Gaff 1987, Oorembski and Barthlott 2000"
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,caput-ardeae,,13.8,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,ciliata,,6.9,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,dawsonii,,5.8,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,glochidea,,8.8,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,hatschbachii,,8.3,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,sellovii,,9.9,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,squalida,,8,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,taxifolia,,6.4,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,triquetra,,11.2,poiki,,,Gaff 1987
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,variabilis,,9.9,poiki,,,Gaff 1997
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,verruculosa,,11.7,poiki,,,Gaff 1997
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Vellozia,virgata,,10,poiki,,,Gaff 1997
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Xerophyta,~28 sp in total,,,poiki,,,Proctor and Pence 2002
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Xerophyta,elegans,,,poiki,,,Gaff 1977
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Xerophyta,humilis,,,homoi,,yes,Gaff 1977
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Xerophyta,retinervis,,,poiki,,,Gaff 1977
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Xerophyta,schlechteri,,,poiki,,yes,Radermacher et al. 2019
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Xerophyta,villosa,,,poiki,,,"Gaff and Hallam 1974, Hallam and Gaff 1978"
Angiosperms,Magnoliopsida,Pandanales,Velloziaceae,Xerophyta,viscosa,,,poiki,,,
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Afrotrilepis,pilosa,,,poiki,,,"Hambler 1969, Barthlott and Porembski 1996"
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Bulbostylis,,,,,,,Porembski 2006
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Carex,pachystillis,,,poiki,,immature tissue only,"Blomstedt 2018, Proctor and Tuba 2002"
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Carex,physodes,,,poiki,,"immature tissue only (but from personal observations at Buffelskloof Nature Reserve, South Africa this may not be true)",Proctor and Tuba 2002
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Cephalocarpus,,,,,,,Porembski 2006
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Coleochloa,microcephala,,,,,,Benko 2002
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Coleochloa,pallidior,0,,,,,"Gaff and Ellis 1974, Gaff 1971, Gaff 1977"
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Coleochloa,setifera,0,,poiki,site differences,no,"Gaff and Ellis 1974, Gaff 1977"
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Cyperus,bellis,2,,,,immature tissue only,"Gaff and Ellis 1974, Gaff 1977, Blomstedt et al 2018"
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Cyperus (previously Kyllinga),alata,0,,poiki,,immature tissue only,"Bomstedt 2018, Gaff 1977"
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Cyperus (previously Kyllinga),alba,,11,,,,Gaff and Ellis 1974
Angiosperms,Magnoliopsida,Poales,Cyperaceae,Cyperus (previously Kyllinga),nervosa,0,,poiki,,immature tissue only,Blomstedt 2018
