"Family","Genus","Kingdom","Order","Class","Phylum"
"Cactacese","Blossfeldia","Plantae",NA,NA,NA
"Myrothamnaceae","Myrothamnus","Plantae","Gunnerales","Magnoliopsida","Streptophyta"
"Myrothamnaceae","Myrothamnus","Plantae","Gunnerales","Magnoliopsida","Streptophyta"
"Gesneriaceae","Boea","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Gesneriaceae","Conandron","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Gesneriaceae","Haberlea","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Gesneriaceae","Opithandra","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Gesneriaceae","Ramonda","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Gesneriaceae","Ramonda","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Gesneriaceae","Ramonda","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Gesneriaceae","Streptocarpus","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Lamiaceae","Satureja","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Linderniaceae","Chamaegigas","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Linderniaceae","Craterostigma","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Linderniaceae","Craterostigma","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Linderniaceae","Craterostigma","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Linderniaceae","Craterostigma","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Linderniaceae","Craterostigma","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Linderniaceae","Lindernia (previously Ilysanthes)","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Linderniaceae","Lindernia (previously Ilysanthes)","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Scrophulariaceae","Limosella","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Scrophulariaceae","Lindernia","Plantae","Lamiales","Magnoliopsida","Streptophyta"
"Boryaceae","Borya","Plantae","Asparagales","Magnoliopsida","Streptophyta"
"Boryaceae","Borya","Plantae","Asparagales","Magnoliopsida","Streptophyta"
"Boryaceae","Borya","Plantae","Asparagales","Magnoliopsida","Streptophyta"
"Boryaceae","Borya","Plantae","Asparagales","Magnoliopsida","Streptophyta"
"Velloziaceae","Aylthonia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Barbacenia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Barbacenia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Barbacenia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Barbacenia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Barbaceniopsis","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Barbaceniopsis","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Nanuza","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Pleurostima","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Talbotia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Vellozia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Vellozia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
"Velloziaceae","Vellozia","Plantae","Pandanales","Magnoliopsida","Streptophyta"
