Kingdom,Order,Genus,Species,Life stage,Primary Reference,Primary Reference Link,Secondary Reference,Secondary Reference Link
Bacteria,,Chroococcidiopsis,,,"Billi et al., 2000",https://doi.org/10.1016/S0923-2508(01)01279-7,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Bacteria,,Deinococcus,radiodurans,,"Billi et al., 2000",https://doi.org/10.1016/S0923-2508(01)01279-7,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Bacteria,,Nostoc,commune,,"Billi et al., 2000",https://doi.org/10.1016/S0923-2508(01)01279-7,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Bacteria,,Thermus,,,,,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Fungi,,Saccharomyces,cerevisiae,,"Garay-Arroyo et al., 2000",https://doi.org/10.1074/jbc.275.8.5668,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Fungi,,Neurospora,crassa,,"Garay-Arroyo et al., 2000",https://doi.org/10.1074/jbc.275.8.5668,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Polypedilum,vanderplanki,,"Watanabe et al., 2004",https://doi.org/10.14411/eje.2004.063,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Artemia,franciscana,,Clegg 2005,https://doi.org/10.1093/icb/45.5.715,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Streptocephalus,macrourus,,Mitchell 1990,https://doi.org/10.1007/BF00012108,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Adorybiotus,coronifer,,Wright 2000,https://doi.org/10.1078/0044-5231-00068,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Macrotrachela,quadricornifera,,"Ricci and Caprioli, 2005",https://doi.org/10.1093/icb/45.5.759,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Macrotrachela,anoyei,,"Ricci and Caprioli, 2005",https://doi.org/10.1093/icb/45.5.759,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Adineta,ricciae,,"Ricci and Caprioli, 2005",https://doi.org/10.1093/icb/45.5.759,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Scottnema,lindsayae,,Treonis and Wall 2005,https://doi.org/10.1093/icb/45.5.741,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Eudorylaimus,antarcticus,,Treonis and Wall 2005,https://doi.org/10.1093/icb/45.5.741,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Plectus,,,Treonis and Wall 2005,https://doi.org/10.1093/icb/45.5.741,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Geomonhystera,antarcticola,,Treonis and Wall 2005,https://doi.org/10.1093/icb/45.5.741,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Panagrolaimus,davidi,,Wharton 2003,https://doi.org/10.1007/s00360-003-0378-0,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Teratocephalus,tilbrooki,,Wharton 2003,https://doi.org/10.1007/s00360-003-0378-0,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Ditylenchus,parcevivens,,Wharton 2003,https://doi.org/10.1007/s00360-003-0378-0,Alpert 2006,https://journals.biologists.com/jeb/article/209/9/1575/16947/Constraints-of-tolerance-why-are-desiccation
Animalia,,Belgica,antarctica,,,,,
Animalia,,Hypsibius,exemplaris,,,,,
Animalia,,Paramacrobiotus,rictersi,,,,,
Animalia,,Ramazzottius,varieornatus,,,,,
Animalia,,Viridiscus,viridianus,,,,,
Animalia,,Acutuncus,antarcticus,,,,,
Animalia,,Caenorhabditis,elegans,,,,,
Animalia,,Artemia,salina,,,,,
Animalia,Collembola,Folsomia,candida,"Egg, larva, adult","Sjursen et al., 2001; Holmstrup et al., 2002",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Cryptopygus,antarcticus,"Larva, adult","Alvarez et al., 1999; Hayward et al., 2004b; Elhity et al., 2008",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Friesea,grisea,"Larva, adult","Alvarez et al., 1999; Hayward et al., 2004b; Elhity et al., 2008",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Ephemeroptera,Protaophora,tricampta,Adult,"Holmstrup and Bayley, 2013",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Cloeodes,hydation,Larva,"Nolte et al., 1996",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Odonata,Libellula,depressa,Larva,"Rebora et al., 2007",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,Orthoptera,Acheta,domesticus,Adult,"McCluney and Date, 2008",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
Animalia,,Dianemobius,nigrofasciatus,Egg,"Goto et al., 2008",,Thorat & Nath 2018,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2018.01843/full
