"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches","Class","Phylum","Kingdom","Order"
"thermosulfidibacterales","Thermosulfidibacter",TRUE,0.789473712444305,832358,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thermosulfidibacter"
"bacteriovoracales","Bacteriovoracales",FALSE,1,7030466,FALSE,"barren, inconsistent",1,NA,NA,"Bacteria","Bacteriovoracales"
"bdellovibrionales","Bdellovibrionales",FALSE,1,630478,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Bdellovibrionales"
"silvanigrellales","Silvanigrellales",FALSE,1,7031039,FALSE,"unplaced",1,NA,NA,"Bacteria","Silvanigrellales"
"oligoflexales","Oligoflexales",FALSE,1,5575568,FALSE,"barren, merged",1,NA,NA,"Bacteria","Oligoflexales"
"thermodesulfobiales","Thermodesulfobiaceae",TRUE,0.850000023841858,848777,FALSE,"sibling_higher",2,NA,NA,"Bacteria","Thermodesulfobiaceae"
"myxococcales","Myxococcales",FALSE,1,1007130,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Myxococcales"
"coprothermobacterales","Coprothermobacterales",FALSE,1,7021914,FALSE,"barren, sibling_higher, merged",1,NA,NA,"Bacteria","Coprothermobacterales"
"calditrichales","Calditrichales",FALSE,1,7017264,FALSE,"barren, sibling_higher, merged",1,NA,NA,"Bacteria","Calditrichales"
"synergistales","Synergistales",FALSE,1,258111,FALSE,"",1,NA,NA,"Bacteria","Synergistales"
"treponematales","Tribonematales",TRUE,0.857142865657806,223412,FALSE,"",3,NA,NA,"Protista","Tribonematales"
"leptospirales","Leptospirales",FALSE,1,5580651,FALSE,"barren, merged",1,NA,NA,"Bacteria","Leptospirales"
"brevinematales","Brevinematales",FALSE,1,5580649,FALSE,"barren, merged",1,NA,NA,"Bacteria","Brevinematales"
"brachyspirales","Brachyspirales",FALSE,1,5580650,FALSE,"barren, merged",1,NA,NA,"Bacteria","Brachyspirales"
"spirochaetales","Spirochaetales",FALSE,1,992119,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Spirochaetales"
"geobacterales","Gloeobacterales",TRUE,0.866666674613953,877100,FALSE,"barren, sibling_higher, merged",1,NA,NA,"Bacteria","Gloeobacterales"
"desulfuromonadales","Desulfuromonadales",FALSE,1,846675,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Desulfuromonadales"
"desulfomonilales","Desulfomonile",TRUE,0.769230782985687,589029,FALSE,"",1,NA,NA,"Bacteria","Desulfomonile"
"syntrophorhabdales","Syntrophorhabdaceae",TRUE,0.842105269432068,12761,FALSE,"sibling_higher",2,NA,NA,"Bacteria","Syntrophorhabdaceae"
"desulfobaccales","Desulfobacterales",TRUE,0.823529422283173,371456,FALSE,"sibling_higher",2,NA,NA,"Bacteria","Desulfobacterales"
"desulfarculales","Desulfarculales",FALSE,1,38914,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Desulfarculales"
"dissulfuribacterales","Desulfurobacteriales",TRUE,0.800000011920929,5572963,FALSE,"barren, merged",2,NA,NA,"Bacteria","Desulfurobacteriales"
"desulfobulbales","Desulfobulbaceae",TRUE,0.8125,846631,FALSE,"sibling_higher",2,NA,NA,"Bacteria","Desulfobulbaceae"
"desulfovibrionales","Desulfovibrionales",FALSE,1,35706,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Desulfovibrionales"
"desulfobacterales","Desulfobacterales",FALSE,1,371456,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Desulfobacterales"
"syntrophobacterales","Syntrophobacterales",FALSE,1,623140,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Syntrophobacterales"
"thermodesulfobacteriales","Thermodesulfobacteriales",FALSE,1,226281,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thermodesulfobacteriales"
"chrysiogenales","Chrysiogenales",FALSE,1,509203,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Chrysiogenales"
"deferribacterales","Deferribacterales",FALSE,1,258102,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Deferribacterales"
"mesoaciditogales","Mesoaciditogales",FALSE,1,5913667,FALSE,"unplaced",1,NA,NA,"Bacteria","Mesoaciditogales"
"petrotogales","Petrotogales",FALSE,1,5572830,FALSE,"barren, merged",1,NA,NA,"Bacteria","Petrotogales"
"kosmotogales","Kosmotogales",FALSE,1,5572831,FALSE,"barren, merged",1,NA,NA,"Bacteria","Kosmotogales"
"thermotogales","Thermotogales",FALSE,1,374163,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Thermotogales"
"desulfurobacteriales","Desulfurobacteriales",FALSE,1,5572963,FALSE,"barren, merged",1,NA,NA,"Bacteria","Desulfurobacteriales"
"aquificales","Aquificales",FALSE,1,165750,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Aquificales"
"elusimicrobiales","Elusimicrobiales",FALSE,1,622718,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Elusimicrobiales"
"endomicrobiales","Endomicrobiales",FALSE,1,5890856,FALSE,"barren, sibling_higher, merged",1,NA,NA,"Bacteria","Endomicrobiales"
"dictyoglomales","Dictyoglomales",FALSE,1,1005608,FALSE,"",1,NA,NA,"Bacteria","Dictyoglomales"
"atribacterales","Candidatus Peribacterales",TRUE,0.857142865657806,5889131,FALSE,"unplaced_inherited",3,NA,NA,"Bacteria","Candidatus Peribacterales"
"vicinamibacterales","Vicinamibacteraceae",TRUE,0.842105269432068,7002046,FALSE,"",1,NA,NA,"Bacteria","Vicinamibacteraceae"
"thermoanaerobaculales","Thermoanaerobaculales",FALSE,1,7002043,FALSE,"",1,NA,NA,"Bacteria","Thermoanaerobaculales"
"pyrinomonadales","Pyrenomonadales",TRUE,0.933333337306976,1017389,FALSE,"barren, sibling_higher, merged",4,NA,NA,"Protista","Pyrenomonadales"
"blastocatellales","Blastocatellales",FALSE,1,5878212,FALSE,"barren, sibling_higher, merged",1,NA,NA,"Bacteria","Blastocatellales"
"thermotomaculales","Thermotomaculales",FALSE,1,5575579,FALSE,"barren, merged",1,NA,NA,"Bacteria","Thermotomaculales"
"holophagales","Holophagales",FALSE,1,684991,FALSE,"",1,NA,NA,"Bacteria","Holophagales"
"acanthopleuribacterales","Acanthopleuribacterales",FALSE,1,522763,FALSE,"",1,NA,NA,"Bacteria","Acanthopleuribacterales"
"bryobacterales","Bryobacterales",FALSE,1,1040236,FALSE,"barren, merged",1,NA,NA,"Bacteria","Bryobacterales"
"nitrospirales","Nitrospirales",FALSE,1,66275,FALSE,"",1,NA,NA,"Bacteria","Nitrospirales"
"fusobacteriales","Fusobacteriales",FALSE,1,479554,FALSE,"",1,NA,NA,"Bacteria","Fusobacteriales"
"desulfurellales","Desulfurellales",FALSE,1,371464,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Desulfurellales"
"nautiliales","Nautiliales",FALSE,1,520961,FALSE,"",1,NA,NA,"Bacteria","Nautiliales"
"campylobacterales","Campylobacterales",FALSE,1,862644,FALSE,"",1,NA,NA,"Bacteria","Campylobacterales"
"hydrogenophilales","Hydrogenophilales",FALSE,1,190174,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Hydrogenophilales"
"acidithiobacillales","Acidithiobacillales",FALSE,1,982008,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Acidithiobacillales"
"mariprofundales","Mariprofundales",FALSE,1,423329,FALSE,"",1,NA,NA,"Bacteria","Mariprofundales"
"ferrovales","Ferrovales",FALSE,1,5273716,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Ferrovales"
"ferritrophicales","Ferritrophicales",FALSE,1,1097303,FALSE,"barren, merged",1,NA,NA,"Bacteria","Ferritrophicales"
"procabacteriales","Procabacteriales",FALSE,1,94325,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Procabacteriales"
"rhodocyclales","Rhodocyclales",FALSE,1,306284,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Rhodocyclales"
"neisseriales","Neisseriales",FALSE,1,779197,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Neisseriales"
"burkholderiales","Burkholderiales",FALSE,1,27008,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Burkholderiales"
"nitrosomonadales","Nitrosomonadales",FALSE,1,216584,FALSE,"sibling_higher",1,NA,NA,"Bacteria","Nitrosomonadales"
"thalassobaculales","Thalassobacillus",TRUE,0.8125,447177,FALSE,"",1,NA,NA,"Bacteria","Thalassobacillus"
"parvibaculales","Parvularculales",TRUE,0.800000011920929,318326,FALSE,"",1,NA,NA,"Bacteria","Parvularculales"
"dongiales","Bangiales",TRUE,0.777777791023254,999795,FALSE,"sibling_higher",1,NA,NA,"Protista","Bangiales"
"acetobacterales","Acetobacteraceae",TRUE,0.8125,551974,FALSE,"",2,NA,NA,"Bacteria","Acetobacteraceae"
"geminicoccales","Geminicoccaceae",TRUE,0.800000011920929,7026535,FALSE,"",3,NA,NA,"Bacteria","Geminicoccaceae"
"hyphomonadales","Cryptomonadales",TRUE,0.800000011920929,7645937,FALSE,"sibling_higher",1,NA,NA,"Protista","Cryptomonadales"
"minwuiales","Minwuiales",FALSE,1,7023624,FALSE,"",1,NA,NA,"Bacteria","Minwuiales"
"emcibacterales","Emcibacterales",FALSE,1,7027461,FALSE,"barren, merged",1,NA,NA,"Bacteria","Emcibacterales"
"iodidimonadales","Iodidimonadales",FALSE,1,7028110,FALSE,"barren, merged",1,NA,NA,"Bacteria","Iodidimonadales"
"micropepsales","Micropepsales",FALSE,1,7023620,FALSE,"",1,NA,NA,"Bacteria","Micropepsales"
"holosporales","Holosporales",FALSE,1,7027057,FALSE,"barren, merged",1,NA,NA,"Bacteria","Holosporales"
"rhodothalassiales","Rhodothalassiales",FALSE,1,5575354,FALSE,"barren, merged",1,NA,NA,"Bacteria","Rhodothalassiales"
"magnetococcales","Magnetococcales",FALSE,1,1077608,FALSE,"",1,NA,NA,"Bacteria","Magnetococcales"
"sneathiellales","Sneathiellales",FALSE,1,353998,FALSE,"",1,NA,NA,"Bacteria","Sneathiellales"
"kordiimonadales","Kordiimonadales",FALSE,1,84465,FALSE,"",1,NA,NA,"Bacteria","Kordiimonadales"
"kopriimonadales","Kopriimonadales",FALSE,1,47822,FALSE,"barren, merged",1,NA,NA,"Bacteria","Kopriimonadales"
"parvularculales","Parvularculales",FALSE,1,318326,FALSE,"",1,NA,NA,"Bacteria","Parvularculales"
