"x","y","Genera"
-176.6767831125,78.60320205,66
11.6251970375,78.60320205,1
22.2837996875,70.64364305,1
25.8366672375,70.64364305,3
146.6341639375,70.64364305,1
20.5073659125,69.84768715,1
22.2837996875,69.84768715,1
24.0602334625,69.84768715,1
27.6131010125,69.84768715,4
29.3895347875,69.84768715,1
-54.1028526375,69.05173125,1
-50.5499850875,69.05173125,1
18.7309321375,69.05173125,1
20.5073659125,69.05173125,4
22.2837996875,69.05173125,1
25.8366672375,69.05173125,1
27.6131010125,69.05173125,1
24.0602334625,68.25577535,2
27.6131010125,68.25577535,1
13.4016308125,67.45981945,1
15.1780645875,67.45981945,1
16.9544983625,67.45981945,1
20.5073659125,67.45981945,1
22.2837996875,67.45981945,1
25.8366672375,67.45981945,1
27.6131010125,67.45981945,1
29.3895347875,67.45981945,1
20.5073659125,66.66386355,1
22.2837996875,66.66386355,1
25.8366672375,66.66386355,1
29.3895347875,66.66386355,1
-54.1028526375,65.86790765,1
13.4016308125,65.86790765,2
16.9544983625,65.86790765,2
18.7309321375,65.86790765,1
20.5073659125,65.86790765,1
22.2837996875,65.86790765,2
24.0602334625,65.86790765,1
25.8366672375,65.86790765,2
27.6131010125,65.86790765,1
29.3895347875,65.86790765,1
-23.9034784625,65.07195175,1
-22.1270446875,65.07195175,1
11.6251970375,65.07195175,1
13.4016308125,65.07195175,3
15.1780645875,65.07195175,2
16.9544983625,65.07195175,1
22.2837996875,65.07195175,1
25.8366672375,65.07195175,1
-22.1270446875,64.27599585,1
-16.7977433625,64.27599585,1
9.8487632625,64.27599585,1
11.6251970375,64.27599585,2
13.4016308125,64.27599585,1
15.1780645875,64.27599585,1
18.7309321375,64.27599585,1
20.5073659125,64.27599585,1
22.2837996875,64.27599585,1
29.3895347875,64.27599585,1
8.07232948749999,63.48003995,4
9.8487632625,63.48003995,11
11.6251970375,63.48003995,8
13.4016308125,63.48003995,9
15.1780645875,63.48003995,2
16.9544983625,63.48003995,2
18.7309321375,63.48003995,1
20.5073659125,63.48003995,3
25.8366672375,63.48003995,1
31.1659685625,63.48003995,1
6.2958957125,62.68408405,28
8.07232948749999,62.68408405,3
9.8487632625,62.68408405,4
13.4016308125,62.68408405,3
15.1780645875,62.68408405,2
22.2837996875,62.68408405,1
-6.13914071250002,61.88812815,1
4.51946193749998,61.88812815,11
6.2958957125,61.88812815,2
8.07232948749999,61.88812815,7
9.8487632625,61.88812815,1
11.6251970375,61.88812815,1
13.4016308125,61.88812815,1
15.1780645875,61.88812815,1
22.2837996875,61.88812815,1
24.0602334625,61.88812815,5
25.8366672375,61.88812815,3
29.3895347875,61.88812815,2
50.7067400875,61.88812815,2
-135.8188062875,61.09217225,1
-48.7735513125,61.09217225,1
4.51946193749998,61.09217225,13
6.2958957125,61.09217225,5
8.07232948749999,61.09217225,4
9.8487632625,61.09217225,5
13.4016308125,61.09217225,1
15.1780645875,61.09217225,3
16.9544983625,61.09217225,3
22.2837996875,61.09217225,2
24.0602334625,61.09217225,7
25.8366672375,61.09217225,1
27.6131010125,61.09217225,4
29.3895347875,61.09217225,2
68.4710778375,61.09217225,2
4.51946193749998,60.29621635,1
6.2958957125,60.29621635,5
8.07232948749999,60.29621635,2
9.8487632625,60.29621635,6
11.6251970375,60.29621635,3
13.4016308125,60.29621635,1
15.1780645875,60.29621635,1
16.9544983625,60.29621635,4
18.7309321375,60.29621635,5
22.2837996875,60.29621635,3
24.0602334625,60.29621635,5
29.3895347875,60.29621635,4
31.1659685625,60.29621635,1
-135.8188062875,59.50026045,1
4.51946193749998,59.50026045,7
6.2958957125,59.50026045,10
9.8487632625,59.50026045,9
11.6251970375,59.50026045,8
13.4016308125,59.50026045,7
15.1780645875,59.50026045,8
16.9544983625,59.50026045,20
18.7309321375,59.50026045,16
24.0602334625,59.50026045,1
27.6131010125,59.50026045,1
31.1659685625,59.50026045,1
-4.36270693750001,58.70430455,1
6.2958957125,58.70430455,18
8.07232948749999,58.70430455,3
9.8487632625,58.70430455,4
11.6251970375,58.70430455,10
13.4016308125,58.70430455,5
15.1780645875,58.70430455,5
16.9544983625,58.70430455,18
18.7309321375,58.70430455,1
22.2837996875,58.70430455,1
24.0602334625,58.70430455,1
31.1659685625,58.70430455,1
-4.36270693750001,57.90834865,2
6.2958957125,57.90834865,5
8.07232948749999,57.90834865,6
9.8487632625,57.90834865,2
11.6251970375,57.90834865,19
13.4016308125,57.90834865,17
15.1780645875,57.90834865,16
16.9544983625,57.90834865,2
18.7309321375,57.90834865,2
72.0239453875,57.90834865,1
-135.8188062875,57.11239275,16
-123.3837698625,57.11239275,1
-121.6073360875,57.11239275,1
-6.13914071250002,57.11239275,3
-4.36270693750001,57.11239275,10
-2.58627316250002,57.11239275,2
8.07232948749999,57.11239275,9
9.8487632625,57.11239275,6
11.6251970375,57.11239275,9
13.4016308125,57.11239275,19
15.1780645875,57.11239275,14
16.9544983625,57.11239275,4
18.7309321375,57.11239275,2
24.0602334625,57.11239275,3
36.4952698875,57.11239275,1
61.3653427375,57.11239275,1
-6.13914071250002,56.31643685,5
-4.36270693750001,56.31643685,8
-2.58627316250002,56.31643685,5
8.07232948749999,56.31643685,6
9.8487632625,56.31643685,22
11.6251970375,56.31643685,8
13.4016308125,56.31643685,23
15.1780645875,56.31643685,18
16.9544983625,56.31643685,4
