"Order","Kingdom","Genus","Species","Class","Phylum","Family"
"Thermosulfidibacterales","Bacteria",NA,NA,NA,NA,NA
"Bacteriovoracales","Bacteria",NA,NA,NA,NA,NA
"Bdellovibrionales","Bacteria",NA,NA,NA,NA,NA
"Silvanigrellales","Bacteria",NA,NA,NA,NA,NA
"Oligoflexales","Bacteria",NA,NA,NA,NA,NA
"Thermodesulfobiales","Bacteria",NA,NA,NA,NA,NA
"Haliangiales","Bacteria",NA,NA,NA,NA,NA
"Nannocystales","Bacteria",NA,NA,NA,NA,NA
"Polyangiales","Bacteria",NA,NA,NA,NA,NA
"Myxococcales","Bacteria",NA,NA,NA,NA,NA
"Coprothermobacterales","Bacteria",NA,NA,NA,NA,NA
"Calditrichales","Bacteria",NA,NA,NA,NA,NA
"Synergistales","Bacteria",NA,NA,NA,NA,NA
"Treponematales","Bacteria",NA,NA,NA,NA,NA
"Leptospirales","Bacteria",NA,NA,NA,NA,NA
"Brevinematales","Bacteria",NA,NA,NA,NA,NA
"Brachyspirales","Bacteria",NA,NA,NA,NA,NA
"Spirochaetales","Bacteria",NA,NA,NA,NA,NA
"Deferrisomatales","Bacteria",NA,NA,NA,NA,NA
"Geobacterales","Bacteria",NA,NA,NA,NA,NA
"Desulfuromonadales","Bacteria",NA,NA,NA,NA,NA
"Desulfomonilales","Bacteria",NA,NA,NA,NA,NA
"Syntrophorhabdales","Bacteria",NA,NA,NA,NA,NA
"Syntrophales","Bacteria",NA,NA,NA,NA,NA
"Desulfobaccales","Bacteria",NA,NA,NA,NA,NA
"Desulfarculales","Bacteria",NA,NA,NA,NA,NA
"Dissulfuribacterales","Bacteria",NA,NA,NA,NA,NA
"Desulfobulbales","Bacteria",NA,NA,NA,NA,NA
"Desulfovibrionales","Bacteria",NA,NA,NA,NA,NA
"Desulfatiglandales","Bacteria",NA,NA,NA,NA,NA
"Desulfobacterales","Bacteria",NA,NA,NA,NA,NA
"Syntrophobacterales","Bacteria",NA,NA,NA,NA,NA
"Thermodesulfobacteriales","Bacteria",NA,NA,NA,NA,NA
"Chrysiogenales","Bacteria",NA,NA,NA,NA,NA
"Deferribacterales","Bacteria",NA,NA,NA,NA,NA
"Mesoaciditogales","Bacteria",NA,NA,NA,NA,NA
"Petrotogales","Bacteria",NA,NA,NA,NA,NA
"Kosmotogales","Bacteria",NA,NA,NA,NA,NA
"Thermotogales","Bacteria",NA,NA,NA,NA,NA
"Desulfurobacteriales","Bacteria",NA,NA,NA,NA,NA
"Aquificales","Bacteria",NA,NA,NA,NA,NA
"Elusimicrobiales","Bacteria",NA,NA,NA,NA,NA
"Endomicrobiales","Bacteria",NA,NA,NA,NA,NA
"Dictyoglomales","Bacteria",NA,NA,NA,NA,NA
"Atribacterales","Bacteria",NA,NA,NA,NA,NA
"Vicinamibacterales","Bacteria",NA,NA,NA,NA,NA
"Thermoanaerobaculales","Bacteria",NA,NA,NA,NA,NA
"Pyrinomonadales","Bacteria",NA,NA,NA,NA,NA
"Blastocatellales","Bacteria",NA,NA,NA,NA,NA
"Thermotomaculales","Bacteria",NA,NA,NA,NA,NA
"Holophagales","Bacteria",NA,NA,NA,NA,NA
"Acanthopleuribacterales","Bacteria",NA,NA,NA,NA,NA
"Bryobacterales","Bacteria",NA,NA,NA,NA,NA
"Terriglobales","Bacteria",NA,NA,NA,NA,NA
"Thermodesulfovibrionales","Bacteria",NA,NA,NA,NA,NA
"Nitrospirales","Bacteria",NA,NA,NA,NA,NA
"Fusobacteriales","Bacteria",NA,NA,NA,NA,NA
"Desulfurellales","Bacteria",NA,NA,NA,NA,NA
"Nautiliales","Bacteria",NA,NA,NA,NA,NA
"Campylobacterales","Bacteria",NA,NA,NA,NA,NA
"Hydrogenophilales","Bacteria",NA,NA,NA,NA,NA
"Acidithiobacillales","Bacteria",NA,NA,NA,NA,NA
"Mariprofundales","Bacteria",NA,NA,NA,NA,NA
"Ferrovales","Bacteria",NA,NA,NA,NA,NA
"Ferritrophicales","Bacteria",NA,NA,NA,NA,NA
"Procabacteriales","Bacteria",NA,NA,NA,NA,NA
"Rhodocyclales","Bacteria",NA,NA,NA,NA,NA
"Neisseriales","Bacteria",NA,NA,NA,NA,NA
"Burkholderiales","Bacteria",NA,NA,NA,NA,NA
"Nitrosomonadales","Bacteria",NA,NA,NA,NA,NA
"Thalassobaculales","Bacteria",NA,NA,NA,NA,NA
"Reyranellales","Bacteria",NA,NA,NA,NA,NA
"Parvibaculales","Bacteria",NA,NA,NA,NA,NA
"Dongiales","Bacteria",NA,NA,NA,NA,NA
"Acetobacterales","Bacteria",NA,NA,NA,NA,NA
"Geminicoccales","Bacteria",NA,NA,NA,NA,NA
"Futianiales","Bacteria",NA,NA,NA,NA,NA
"Hyphomonadales","Bacteria",NA,NA,NA,NA,NA
"Maricaulales","Bacteria",NA,NA,NA,NA,NA
"Minwuiales","Bacteria",NA,NA,NA,NA,NA
"Emcibacterales","Bacteria",NA,NA,NA,NA,NA
"Iodidimonadales","Bacteria",NA,NA,NA,NA,NA
"Micropepsales","Bacteria",NA,NA,NA,NA,NA
"Holosporales","Bacteria",NA,NA,NA,NA,NA
"Rhodothalassiales","Bacteria",NA,NA,NA,NA,NA
"Magnetococcales","Bacteria",NA,NA,NA,NA,NA
"Sneathiellales","Bacteria",NA,NA,NA,NA,NA
